ID,GICS_INDUSTRY_GROUP_NAME,TOTAL_GHG_EMISSIONS,ENERGY_CONSUMPTION,RENEW_ENERGY_USE,WATER_CONSUMPTION,PCT_WATER_RECYCLED,DISCHARGE_TO_WATER,TOTAL_WASTE,HAZARDOUS_WASTE,WASTE_RECYCLED,NUM_ENVIRON_FINES,ENVIRON_FINES_AMT,NUMBER_SPILLS,AMOUNT_OF_SPILLS,PCT_OF_GREEN_SUSTAIN_REVENUE,SBTI_NEAR_TERM_TARGET_STATUS,SBTI_NEAR_TERM_TARGET_CLASS,UN_GLOBAL_COMPACT_SIGNATORY,HUMAN_RIGHTS_POLICY,EQUAL_OPPORTUNITY_POLICY,FAIR_REMUNERATION_POLICY,POLICY_AGAINST_CHILD_LABOR,WORK_ACCIDENTS_EMPLOYEES,FATALITIES_CONTRACTORS,FATALITIES_TOTAL,EMPLOYEE_TRAINING_COST,COMMUNITY_SPENDING,EMPLOYEE_TURNOVER_PCT,PCT_WOMEN_EMPLOYEES,PCT_WOMEN_MGT,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,PCT_EMPLOYEES_UNIONIZED,BOARD_SIZE,PCT_INDEPENDENT_DIRECTORS,CEO_DUALITY,SIZE_OF_AUDIT_COMMITTEE,BOARD_AVERAGE_TENURE,BOARD_AVERAGE_AGE,PCT_OF_NON_EXEC_DIR_ON_BRD,CSR_SUSTAINABILITY_COMMITTEE,CHIEF_EXECUTIVE_OFFICER_TENURE,PCT_OF_EXECUTIVES_THAT_ARE_WOMEN,BOARD_DURATION,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,GHG_SCOPE_1_2020,GHG_SCOPE_1_2021,GHG_SCOPE_1_2022,GHG_SCOPE_1_2023,GHG_SCOPE_1_2024,GHG_SCOPE_1_2025,GHG_SCOPE_2_2019,GHG_SCOPE_2_2020,GHG_SCOPE_2_2021,GHG_SCOPE_2_2022,GHG_SCOPE_2_2023,GHG_SCOPE_2_2024,GHG_SCOPE_2_2025,GHG_SCOPE_3_2019,GHG_SCOPE_3_2020,GHG_SCOPE_3_2021,GHG_SCOPE_3_2022,GHG_SCOPE_3_2023,GHG_SCOPE_3_2024,GHG_SCOPE_3_2025,SALES_REV_TURN_2019,SALES_REV_TURN_2020,SALES_REV_TURN_2021,SALES_REV_TURN_2022,SALES_REV_TURN_2023,SALES_REV_TURN_2024,SALES_REV_TURN_2025,BS_TOT_ASSET_2019,BS_TOT_ASSET_2020,BS_TOT_ASSET_2021,BS_TOT_ASSET_2022,BS_TOT_ASSET_2023,BS_TOT_ASSET_2024,BS_TOT_ASSET_2025,EBITDA_2019,EBITDA_2020,EBITDA_2021,EBITDA_2022,EBITDA_2023,EBITDA_2024,EBITDA_2025,CF_CAP_EXPEND_PRPTY_ADD_2019,CF_CAP_EXPEND_PRPTY_ADD_2020,CF_CAP_EXPEND_PRPTY_ADD_2021,CF_CAP_EXPEND_PRPTY_ADD_2022,CF_CAP_EXPEND_PRPTY_ADD_2023,CF_CAP_EXPEND_PRPTY_ADD_2024,CF_CAP_EXPEND_PRPTY_ADD_2025,NUM_OF_EMPLOYEES_2019,NUM_OF_EMPLOYEES_2020,NUM_OF_EMPLOYEES_2021,NUM_OF_EMPLOYEES_2022,NUM_OF_EMPLOYEES_2023,NUM_OF_EMPLOYEES_2024,NUM_OF_EMPLOYEES_2025,name,isin,gics_sector_name
A UN Equity,"Pharmaceuticals, Biotechnology",,205.875,,,,,,,,,,,,,Targets Set,1.5,,True,True,,,,,,,,,38.0,30.0,,,,11.0,90.90910339355469,False,5.0,5.992420196533203,66.0,90.90910339355469,True,2.416670083999634,13.33329963684082,3.0,5.0,75.0,10.899999618530273,11.446999549865723,11.732999801635742,20.459999084472656,29.697999954223633,,73.89099884033203,41.70600128173828,36.57600021362305,37.459999084472656,48.159000396728516,49.99800109863281,,752.1510009765625,115.2699966430664,841.6069946289062,840.8070068359375,88.5989990234375,82.3010025024414,,5163.0,5339.0,6319.0,6848.0,6833.0,6510.0,6948.0,9452.0,9627.0,10705.0,10532.0,10763.0,11846.0,12727.0,1179.0,1200.0,1714.0,1980.0,1673.0,1786.0,1805.0,-155.0,-119.0,-188.0,-291.0,-298.0,-378.0,-407.0,,,,,18100.0,18000.0,18100.0,Agilent Technologies Inc,US00846U1016,Health Care
AAPL UW Equity,Technology Hardware & Equipmen,1265.4000244140625,4183.77001953125,3737.0,6798.91015625,12.130000114440918,,83.74659729003906,1.7497400045394897,45.226898193359375,,,,,,Targets Set,1.5,,True,True,,,,,,,,,35.0,,,,,8.0,87.5,False,4.0,11.296299934387207,69.125,87.5,True,0.08333329856395721,35.29410171508789,1.0,4.0,75.0,47.43000030517578,55.20000076293945,55.20000076293945,55.20000076293945,55.20000076293945,55.20000076293945,862.1270141601562,890.2000122070312,1003.25,1065.4100341796875,1206.699951171875,1224.5,1210.199951171875,24981.0,24347.0,23128.400390625,20545.80078125,15982.7998046875,15228.2998046875,15223.7001953125,260174.0,274515.0,365817.0,394328.0,383285.0,391035.0,416161.0,338516.0,323888.0,351002.0,352755.0,352583.0,364980.0,359241.0,76477.0,78844.0,121933.0,132441.0,127820.0,136661.0,146848.0,-10495.0,-7309.0,-11085.0,-10708.0,-10959.0,-9447.0,-12715.0,137000.0,147000.0,154000.0,164000.0,161000.0,164000.0,166000.0,Apple Inc,US0378331005,Information Technology
ABBV UN Equity,"Pharmaceuticals, Biotechnology",515.0560302734375,2218.06005859375,429.9849853515625,27860.0,,,38.08000183105469,19.459999084472656,12.380000114440918,,,,,,Targets Set,1.5,True,True,True,False,True,,,,,49.400001525878906,8.0,44.0,52.0,,,24.0,13.0,92.30770111083984,True,6.0,8.68589973449707,66.23079681396484,92.30770111083984,True,2.25,31.818199157714844,3.0,6.0,75.0,264.7909851074219,367.9540100097656,342.60699462890625,328.2590026855469,300.0719909667969,304.64898681640625,308.2040100097656,312.7430114746094,328.8349914550781,271.05499267578125,237.71400451660156,241.14199829101562,210.40699768066406,1334.2099609375,1168.989990234375,8441.509765625,8182.419921875,6902.5400390625,6768.8701171875,,33266.0,45804.0,56197.0,58054.0,54318.0,56334.0,61160.0,89115.0,150565.0,146529.0,138805.0,134711.0,135161.0,133960.0,15124.0,18026.0,26671.0,26785.0,21644.0,17719.0,23427.0,-552.0,-798.0,-787.0,-695.0,-777.0,-974.0,-1214.0,30000.0,47000.0,50000.0,50000.0,50000.0,55000.0,57000.0,AbbVie Inc,US00287Y1091,Health Care
ABNB UW Equity,Consumer Services,,22.671899795532227,,,,,,,,,,,,,Targets Set,1.5,False,True,True,False,True,,,,,,,49.29999923706055,,,,,9.0,66.66670227050781,True,3.0,11.981499671936035,55.0,77.77780151367188,False,18.16670036315918,23.076900482177734,3.0,4.0,75.0,0.843999981880188,0.8069999814033508,1.375,1.3029999732971191,1.2949999570846558,,6.236999988555908,5.189000129699707,4.874000072479248,5.383999824523926,6.059999942779541,5.179999828338623,,387.7850036621094,209.92599487304688,254.86700439453125,331.48199462890625,395.989990234375,395.3299865722656,,4805.239,3378.199,5992.0,8399.0,9917.0,11102.0,12241.0,8310.119,10491.499,13708.0,16038.0,20645.0,20959.0,22208.0,-305.34399999999994,-3373.1659999999997,650.0,1960.0,1620.0,2671.0,2682.0,-125.452,-37.371,-25.0,-25.0,-47.0,-34.0,0.0,,,6132.0,6811.0,6907.0,7300.0,8200.0,Airbnb Inc,US0090661010,Consumer Discretionary
ABT UN Equity,Health Care Equipment & Servic,948.0,3875.830078125,296.6669921875,15362.0,9.041790008544922,,176.51100158691406,8.843999862670898,37.15800094604492,0.0,0.0,,,,Targets Set,Well-below 2,False,True,True,False,True,356.0,,1.0,,79.0999984741211,15.0,46.0,36.0,,0.18000000715255737,,13.0,92.30770111083984,True,5.0,6.967949867248535,62.84619903564453,92.30770111083984,True,6.583330154418945,31.818199157714844,1.0,9.0,75.0,501.0,537.0,532.0,504.0,503.0,499.0,502.0,482.0,485.0,485.0,471.0,471.0,449.0,10864.0,11969.0,10243.0,12829.0,10665.0,9971.0,6162.0,31904.0,34608.0,43075.0,43653.0,40109.0,41950.0,44328.0,67887.0,72548.0,75196.0,74438.0,73214.0,81414.0,86713.0,7860.0,9013.0,12322.0,11984.0,10077.0,10409.0,11560.0,-1638.0,-2177.0,-1885.0,-1777.0,-2202.0,-2207.0,-2171.0,107000.0,109000.0,113000.0,115000.0,114000.0,114000.0,115000.0,Abbott Laboratories,US0028241000,Health Care
ACGL UW Equity,Insurance,7.39900016784668,24.55109977722168,0.7701359987258911,,,,,,,,,,,,,,,True,True,,True,,,,,,,48.0,,,,,12.0,83.33329772949219,False,4.0,9.03030014038086,64.91670227050781,91.66670227050781,True,2.0,45.454498291015625,3.0,5.0,75.0,1.4830000400543213,1.1180000305175781,1.3480000495910645,1.4429999589920044,2.11899995803833,2.490000009536743,5.775000095367432,,,,,,4.908999919891357,8.87600040435791,65.55799865722656,49.20199966430664,64.59200286865234,77.9520034790039,100.78900146484375,92.21199798583984,6928.2,8525.275,9249.98,9614.808,13634.0,17440.0,19929.0,37885.361,43282.297,45100.945,47990.507,58906.0,70906.0,79241.0,,,,,,,,-37.837,-39.872,-41.394,-51.672,-52.0,-51.0,-44.0,4300.0,4500.0,5200.0,5800.0,6400.0,7200.0,8000.0,Arch Capital Group Ltd,BMG0450A1053,Financials
ACN UN Equity,Software & Services,206.1020050048828,360.8280029296875,340.68499755859375,,,,,,,,,,,,Targets Set,1.5,True,True,True,True,True,,,,1000.0,119.60800170898438,,48.0,30.0,,,,11.0,90.90910339355469,True,5.0,6.875,64.81819915771484,90.90910339355469,True,7.083330154418945,,1.0,7.0,75.0,13.944999694824219,9.25,17.804000854492188,22.038000106811523,22.395000457763672,19.32699966430664,292.8219909667969,228.3730010986328,155.7790069580078,164.66000366210938,180.50999450683594,181.4550018310547,186.77499389648438,1049.030029296875,575.9099731445312,297.0669860839844,405.35198974609375,515.3709716796875,628.8400268554688,688.3930053710938,43215.013,44327.039,50533.389,61594.305,64111.745,64896.464,69672.977,29789.88,37078.593,43175.843,47263.39,51245.305,55932.363,65394.897,7197.834,9008.809,10254.286,12208.399000000001,11941.994999999999,12464.701,13380.863000000001,-599.009,-599.132,-580.132,-717.998,-528.172,-516.509,-600.039,492000.0,506000.0,624000.0,721000.0,733000.0,774000.0,779273.0,Accenture PLC,IE00B4BNMY34,Information Technology
ADBE UW Equity,Software & Services,,228.6999969482422,,,,,,,,,,,,,Targets Set,1.5,,,True,,,,,,,,9.899999618530273,35.400001525878906,32.5,,,,11.0,90.90910339355469,True,4.0,10.689399719238281,59.727298736572266,90.90910339355469,True,18.83329963684082,42.85710144042969,1.0,7.0,75.0,9.597999572753906,4.910999774932861,6.567999839782715,7.64900016784668,7.2179999351501465,,56.12799835205078,50.65299987792969,61.220001220703125,57.167999267578125,62.6619987487793,63.29600143432617,,505.12701416015625,393.49700927734375,424.343994140625,456.3659973144531,612.0989990234375,496.59100341796875,,11171.0,12868.0,15785.0,17606.0,19409.0,21505.0,23769.0,20762.0,24284.0,27241.0,27165.0,29779.0,30230.0,29496.0,4025.0,5113.0,6709.0,7075.0,7639.0,7704.0,9616.0,-395.0,-419.0,-348.0,-442.0,-360.0,-183.0,-179.0,22634.0,22516.0,25988.0,29239.0,29945.0,30709.0,31360.0,Adobe Inc,US00724F1012,Information Technology
ADI UW Equity,Semiconductors & Semiconductor,400.85198974609375,780.0,444.0,7833.509765625,45.630001068115234,,5.64900016784668,1.312000036239624,2.6070001125335693,,,,,,Targets Set,1.5,True,True,True,True,True,,0.0,0.0,,0.7860000133514404,,37.599998474121094,27.0,0.0,,,10.0,80.0,True,3.0,10.600000381469727,66.30000305175781,90.0,True,13.58329963684082,25.0,1.0,9.0,75.0,,169.0540008544922,175.75900268554688,138.0,99.0,79.0,261.3599853515625,171.86900329589844,275.5050048828125,292.6419982910156,290.50299072265625,290.83599853515625,321.5559997558594,7.031000137329102,1195.0,1497.47998046875,2654.280029296875,2343.090087890625,1691.5799560546875,1990.0,5991.065,5603.056,7318.286,12013.953,12305.539,9427.157,11019.707,21392.641,21468.603,52322.071,50302.35,48794.478,48228.277,47992.712,2521.859,2355.0589999999997,2817.634,5636.8589999999995,6183.033,4205.445,4998.681000000001,-275.372,-165.692,-343.676,-699.308,-1261.463,-730.463,-533.552,16400.0,15900.0,24700.0,24450.0,26000.0,24000.0,24500.0,Analog Devices Inc,US0326541051,Information Technology
ADM UN Equity,"Food, Beverage & Tobacco",14570.0,53413.0,3670.0,302000.0,,,,,,,,,,,Removed,,True,True,True,False,True,241.0,,,,10.600000381469727,,26.0,31.0,,0.1899999976158142,,12.0,91.66670227050781,True,6.0,9.56410026550293,63.75,91.66670227050781,True,11.75,27.2726993560791,1.0,11.0,75.0,13500.0,13700.0,13500.0,12600.0,12300.0,12600.0,2860.0,2700.0,2300.0,2130.0,1990.0,2070.0,1970.0,115651.0,37800.0,132691.0,118083.0,107421.0,114498.0,114000.0,64656.0,64355.0,85249.0,101556.0,93935.0,85530.0,80269.0,43997.0,49719.0,56136.0,59774.0,54631.0,53271.0,52389.0,2619.0,2977.0,4161.0,5530.0,5164.0,3078.0,2562.0,-828.0,-823.0,-1169.0,-1319.0,-1494.0,-1563.0,-1248.0,38100.0,37575.0,39218.0,40360.0,41820.0,44043.0,40798.0,Archer-Daniels-Midland Co,US0394831020,Consumer Staples
