,Company,Sector,Climate_Transition_Score,Data_Coverage,Benchmark_Weight,Prior_Return,BL_Posterior_Return,Weight,Active_Weight,Dollar_Allocation
HIG,Hartford Insurance Group Inc/T,Financials,74.89000088535703,0.8000000000000002,0.0021141649048625794,0.10051717560794907,0.10535942440166457,0.012267719183290116,0.010153554278427537,12267719.183290116
KIM,Kimco Realty Corp,Real Estate,61.17431635952504,0.9200000000000002,0.0021141649048625794,0.12003835954314979,0.12188066742914416,0.009411711934807441,0.007297547029944862,9411711.934807442
EG,Everest Group Ltd,Financials,61.30436486664795,0.8000000000000002,0.0021141649048625794,0.08355286018622968,0.08662707088149167,0.009144800434704132,0.007030635529841553,9144800.434704132
WELL,Welltower Inc,Real Estate,62.05453012848847,0.9200000000000002,0.0021141649048625794,0.0998409112258714,0.10153645931824441,0.009017056904339094,0.006902891999476515,9017056.904339094
CME,CME Group Inc,Financials,74.22933519082122,0.8000000000000002,0.0021141649048625794,0.06058003954962646,0.06270447995325663,0.008697006113837124,0.006582841208974545,8697006.113837125
CSCO,Cisco Systems Inc,Information Technology,63.32935592575659,1.0000000000000002,0.0021141649048625794,0.08689632246907944,0.08988895363470799,0.008662317241722617,0.006548152336860038,8662317.241722617
BNY,Bank of New York Mellon Corp/T,Financials,70.63926434363577,0.8000000000000002,0.0021141649048625794,0.10160675713268376,0.10524940967724933,0.00853700202046125,0.00642283711559867,8537002.020461248
PM,Philip Morris International In,Consumer Staples,81.58165487727041,1.0000000000000002,0.0021141649048625794,0.059380143333631334,0.06080439657922156,0.008473081962359044,0.006358917057496465,8473081.962359043
AXP,American Express Co,Financials,68.61201777030865,1.0000000000000002,0.0021141649048625794,0.13423244589558048,0.13901595594537663,0.00823973392369409,0.006125569018831512,8239733.923694091
MCD,McDonald's Corp,Consumer Discretionary,65.59596186850492,0.7900000000000001,0.0021141649048625794,0.06415855256281075,0.06626002931829755,0.008177948861807104,0.006063783956944525,8177948.861807104
BMY,Bristol-Myers Squibb Co,Health Care,69.74345759003188,1.0000000000000002,0.0021141649048625794,0.051520074031023926,0.05327641015674819,0.007861854147000536,0.0057476892421379575,7861854.147000536
ELV,Elevance Health Inc,Health Care,66.77399054697565,1.0000000000000002,0.0021141649048625794,0.08106890423099707,0.08534338886804005,0.007777082911794004,0.005662918006931425,7777082.911794004
CTSH,Cognizant Technology Solutions,Information Technology,63.21392299513306,1.0000000000000002,0.0021141649048625794,0.10243201747877213,0.1080857238180869,0.007602969188657057,0.005488804283794477,7602969.1886570575
EMR,Emerson Electric Co,Industrials,63.01486025378631,1.0000000000000002,0.0021141649048625794,0.11925205004000716,0.12040222443339621,0.007573673236471407,0.005459508331608827,7573673.236471407
GDDY,GoDaddy Inc,Information Technology,71.6329935477615,0.8000000000000002,0.0021141649048625794,0.09664876429366434,0.10401969626418588,0.007537133868199237,0.005422968963336657,7537133.868199237
CRM,Salesforce Inc,Information Technology,67.73759527568953,1.0000000000000002,0.0021141649048625794,0.10430191606743582,0.11227732336771817,0.007446133302351466,0.005331968397488887,7446133.302351465
TPR,Tapestry Inc,Consumer Discretionary,62.67123086258606,1.0000000000000002,0.0021141649048625794,0.1546302903341348,0.1596170084341208,0.007424916001095536,0.005310751096232956,7424916.001095536
ALL,Allstate Corp/The,Financials,62.41981474275991,0.8000000000000002,0.0021141649048625794,0.07949863383593476,0.08184363499884043,0.007407685072387385,0.005293520167524806,7407685.072387385
VEEV,Veeva Systems Inc,Health Care,73.35077639088107,0.5000000000000001,0.0021141649048625794,0.0894294604454345,0.0963878083529204,0.007341368810017321,0.005227203905154741,7341368.81001732
NTRS,Northern Trust Corp,Financials,68.17464047172038,0.9200000000000002,0.0021141649048625794,0.11793309714967684,0.12111941005181337,0.007280034194303496,0.005165869289440917,7280034.194303497
