Company,ID,Security_IDs,Security_Count,ISIN,GICS Sector,GICS Industry Group,Scope12_Intensity_2024,Scope3_Intensity_2024,Scope12_Absolute_Trend,Scope12_Intensity_Trend,Scope3_Absolute_Trend,Scope3_Intensity_Trend,Current_Footprint_Score,Realized_Decarbonization_Score,SBTi_Score,Raw_Climate_Transition_Score,Data_Coverage,Climate_Transition_Score,Baseline_Rank,Median_Robustness_Rank,P10_Robustness_Rank,P90_Robustness_Rank,Top20_Probability,Trend_Confidence_Flag,Rising_Emissions_Flag,Targets_Hiding_Worsening_Flag,SBTi_Status_Clean,SBTi_Class_Clean
Booking Holdings Inc,BKNG UW Equity,BKNG UW Equity,1,US09857L1089,Consumer Discretionary,Consumer Services,0.0001148742524488547,0.022941405200994407,-0.3485104682342882,-0.5254647577686125,0.16893520457251454,-0.14856505990015556,93.86456953642384,85.26757735653,100.0,90.79315953919215,1.0000000000000002,90.79315953919215,1,1.0,1.0,2.0,1.0,No major trend sign conflict,False,False,Targets Set,1.5
Centene Corp,CNC UN Equity,CNC UN Equity,1,US15135B1017,Health Care,Health Care Equipment & Servic,0.00027113343113263535,0.007263216905184322,-0.2357125301237687,-0.3062308395216192,-0.17364146296740046,-0.24988686706575214,94.49089022492142,95.8685518481246,,95.3519287394234,0.8000000000000002,86.28154299153873,2,2.0,1.0,4.0,1.0,No major trend sign conflict,False,False,#N/A Field Not Applicable,#N/A Field Not Applicable
Autodesk Inc,ADSK UW Equity,ADSK UW Equity,1,US0527691069,Information Technology,Software & Services,0.0015854101973011947,0.028044205308719528,-0.07533052654839101,-0.18920107785516016,-0.08359115465926326,-0.19644443189769478,79.7837779880164,84.22459555863585,100.0,86.04743117572285,1.0000000000000002,86.04743117572286,3,4.0,3.0,7.0,1.0,Scope3_Absolute: 2020-2024 vs 2021-2024 sign mismatch,False,False,Targets Set,1.5
PTC Inc,PTC UW Equity,PTC UW Equity,1,US69370C1009,Information Technology,Software & Services,0.00266851977338665,0.016350297032399912,-0.20457984769101156,-0.27048893171973254,-0.013390108525067168,-0.09514131139819904,77.35852412488174,85.17536319082024,100.0,85.79523883287465,1.0000000000000002,85.79523883287465,4,5.0,3.0,8.0,1.0,No major trend sign conflict,False,False,Targets Set,1.5
Ciena Corp,CIEN UN Equity,CIEN UN Equity,1,US1717793095,Information Technology,Technology Hardware & Equipmen,0.0004257532227962752,0.42029361747205135,-0.4231765073964504,-0.44845421875513114,-0.005863841418668692,-0.049429138585090016,76.92249698664902,84.15585785341884,100.0,85.15467802270412,1.0000000000000002,85.15467802270413,5,6.0,3.0,9.0,1.0,No major trend sign conflict,False,False,Targets Set,1.5
Prologis Inc,PLD UN Equity,PLD UN Equity,1,US74340W1036,Real Estate,Equity Real Estate Investment,0.0008543444481610832,0.39270338980128594,-0.1128002115313188,-0.25524604526336725,-0.08909819763784166,-0.23534954752765713,69.36310449316497,88.20433870677772,100.0,84.91110070133836,1.0000000000000002,84.91110070133837,6,6.0,4.0,10.0,1.0,No major trend sign conflict,False,False,Targets Set,1.5
Coca-Cola Co/The,KO UN Equity,KO UN Equity,1,US1912161007,Consumer Staples,"Food, Beverage & Tobacco",0.028646203608871663,0.18575509046769087,-0.33763787313988547,-0.3932908397019348,-0.29700322510107935,-0.3560703945845498,61.64572690003153,94.9995414015953,80.0,81.99348877080712,1.0000000000000002,81.99348877080712,7,8.0,5.0,13.0,1.0,No major trend sign conflict,False,False,Targets Set,2
Jacobs Solutions Inc,J UN Equity,J UN Equity,1,US46982L1089,Industrials,Commercial & Professional Serv,0.003049576630981582,0.011437238175975665,-0.180334863872198,-0.13036512741185757,-0.10533745654978788,-0.05079560824287832,78.11780912244488,76.78791754060046,100.0,81.8293015070337,1.0000000000000002,81.8293015070337,8,12.0,8.0,18.0,1.0,Scope3_Intensity: 2020-2024 vs 2021-2024 sign mismatch,False,False,Targets Set,1.5
Citigroup Inc,C UN Equity,C UN Equity,1,US1729674242,Financials,Banks,0.0022517846964995054,0.0004068237455526622,-0.07303819186588856,-0.2396695654838772,-0.8943536839586282,-0.9133447476736362,90.99442786793779,88.6595830010464,,89.53514982613068,0.8000000000000002,81.62811986090455,9,5.0,3.0,10.0,1.0,No major trend sign conflict,False,False,#N/A Field Not Applicable,#N/A Field Not Applicable
Philip Morris International In,PM UN Equity,PM UN Equity,1,US7181721090,Consumer Staples,"Food, Beverage & Tobacco",0.009353530136922942,0.12315856169808333,-0.19231921690957254,-0.24456297798052462,0.039578407597213205,-0.027665343991400193,78.29618416903185,76.18559925312171,100.0,81.58165487727041,1.0000000000000002,81.58165487727041,10,12.0,8.0,20.0,1.0,No major trend sign conflict,False,False,Targets Set,1.5
